Ingredient Name, Type,Unit,Price per unit,Storage
baking powder,carb,g,Rs. 90/kg,pantry
basil,protein,g,Rs. 700/kg,refrigerator
Basmati rice,dairy,g,Rs. 100/kg,refrigerator
butter,vegetable,g,Rs. 30/kg,pantry
cabbage,vegetable,g,Rs. 25/kg,pantry
capsicum,vegetable,pc,Rs 20/bunch,refrigerator
cardamom,dairy,g,Rs. 500/kg,refrigerator
carrot,spice,g,Rs. 120/kg,pantry
cauliflower,spice,g,Rs. 100/kg,pantry
chicken,spice,g,Rs. 160/kg,refrigerator
chilli sauce,dairy,g,Rs. 600/kg,refrigerator
cinammon sticks,carb,pc,Rs. 5/pc,pantry
cocoa powder,vegetable,g,Rs 20/kg,pantry
cream,vegetable,g,Rs. 60/kg,refrigerator
cumin seeds,vegetable,g,Rs. 30/kg,refrigerator
curd,vegetable,g,Rs. 20/kg,refrigerator
dark chocolate,condiment,ml,Rs. 300/l,refrigerator
egg,legume,g,Rs. 100/kg,pantry
flour,dairy,ml,Rs. 600/l,pantry
garam masala,spice,g,Rs. 1200/kg,pantry
garlic,spice,g,Rs. 1000/kg,pantry
ghee,spice,g,Rs. 1000/kg,pantry
ginger,spice,g,Rs. 1100/kg,pantry
green chilli,oil,ml,Rs. 1500/l,pantry
ketchup,spice,g,Rs. 900/kg,pantry
milk,carb,g,Rs. 400/kg,pantry
mozarella cheese,dairy,g,Rs. 1500/kg,refrigerator
mustard seeds,dairy,l,Rs. 500/l,refrigerator
nutella spread,protein,pc,Rs 300/dozen,refrigerator
olive oil,dairy,ml,Rs. 100/l,refrigerator
onion,sweetener,g,Rs. 70/kg,pantry
paneer,other,g,Rs. 500/kg,pantry
parsley,sweetener,g,Rs. 1700/kg,refrigerator
pav,flavoring,ml,Rs 2000/l,pantry
peas,other,ml,nil,pantry
penne pasta,spice,g,Rs. 750/kg,pantry
peppercorns,spice,g,Rs. 350/g,pantry
potato,spice,g,Rs. 4200/kg,pantry
red chilli flakes,spice,g,Rs. 2200/kg,pantry
rosemary,vegetable,pc,Rs. 200/pc,pantry
saffron,vegetable,g,Rs. 500/kg,refrigerator
soy sauce,spice,g,Rs. 2000/kg,pantry
spinach,spice,g,Rs. 4000/kg,pantry
spring onion,garnish,g,Rs. 350/kg,pantry
star anise,vegetable,g,Rs. 300/kg,refrigerator
sugar,carb,g,Rs. 2000/kg,pantry
thyme,flavoring,g,Rs. 1200/kg,pantry
toamato,spice,g,Rs. 250/kg,pantry
toor dal,sweetener,g,Rs. 1200/kg,pantry
vanilla extract,condiment,ml,Rs. 250/l,refrigerator
vinegar,condiment,ml,Rs. 250/l,refrigerator
water,condiment,g,Rs. 200/kg,refrigerator
